Name	Contrast	Age	Time from diagnosis	Sign	Significance	Comment	Population	N Case	N Control	Author	Year	Journal	Source	URL	Authors
SM(d36:1)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
SM(d36:2)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
TG(14:0/16:0/18:1)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
TG(16:0/18:0/18:1)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
TG(18:1/18:1/22:6)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
TG(52:7)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
TG(54:8)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
TG(56:5)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
CE(20:3)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(32:2)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(34:3)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(36:2)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(36:4)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(36:5)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(37:4)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(38:3)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(40:4)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(O-22:2/22:3)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(O-36:5)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(O-40:4)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PE(34:2)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PE(36:4)	P1Ab/CTR	3 m		1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
SM(d36:2)	PT1D/CTR	6 m		-1	adj p < 0.1		Finland	25	28	Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(33:0)	PT1D/CTR	18 m		-1	adj p < 0.1		Finland	25	26	Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
SM(d36:2)	PT1D/CTR	18 m		-1	adj p < 0.1		Finland	25	26	Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
TG(56:5)	PT1D/CTR	18 m		1	adj p < 0.1		Finland	25	26	Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
															
Cer(d18:1/22:0)	PT1D/CTR	0-1 y		-1	p < 0.05		Finland	46	58	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800 	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
LPC(18:0)	PT1D/CTR	0-1 y		1	p < 0.05		Finland	46	58	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800 	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
LPC(18:0)	PT1D/CTR	1-2 y		1	p < 0.05		Finland	42	53	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
LPC(18:3)	PT1D/CTR	8-9 y		1	p < 0.05		Finland	8	17	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(14:0/18:2)	PT1D/CTR	6-7 y		-1	p < 0.05		Finland	10	33	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(14:0/18:2)	PT1D/CTR	8-9 y		-1	p < 0.05		Finland	8	17	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/16:1)	PT1D/CTR	0-1 y		-1	p < 0.05		Finland	46	58	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/16:1)	PT1D/CTR	6-7 y		-1	p < 0.05		Finland	10	33	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/16:1)	PT1D/CTR	7-8 y		-1	p < 0.05		Finland	10	26	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/16:1)	PT1D/CTR	8-9 y		-1	p < 0.05		Finland	8	17	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/18:2)	PT1D/CTR	Birth		-1	p < 0.05		Finland	15	24	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/18:2)	PT1D/CTR	6-7 y		-1	p < 0.05		Finland	10	33	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(16:0/20:5)	PT1D/CTR	6-7 y		-1	p < 0.05		Finland	10	33	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(16:0/20:5)	PT1D/CTR	7-8 y		-1	p < 0.05		Finland	10	26	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/20:4)	PT1D/CTR	7-8 y		-1	p < 0.05		Finland	10	26	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(18:2/20:4)	PT1D/CTR	9-10 y		-1	p < 0.05		Finland	5	10	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(38:7)	PT1D/CTR	6-7 y		-1	p < 0.05		Finland	10	33	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
PC(38:7)	PT1D/CTR	8-9 y		-1	p < 0.05		Finland	8	17	Oresic	2008	Journal of Experimental Medicine	Figure 3a	https://doi.org/10.1084/jem.20081800	"Matej Ores?ic?, Satu Simell, Marko Sysi-Aho, Kirsti Na?nto?-Salonen, Tuulikki Seppa?nen-Laakso, Vilhelmiina Parikka, Mikko Katajamaa, Anne Hekkala, Ismo Mattila, Pa?ivi Keskinen, Laxman Yetukuri, Arja Reinikainen, Jyrki La?hde, Tapani Suortti, Jari Hakalax, Tuula Simell, Heikki Hyo?ty, Riitta Veijola, Jorma Ilonen, Riitta Lahesmaa, Mikael Knip, Olli Simell"
